"kld","mae","n_years","n_samples","n_clusters","tau","w_prec"
0.00540629717558369,161.172447,4999,1000,6,10,0.5
0.0599407341282776,36.20572,499,50,9,10,0.5
0.144764397250817,59.3274,2499,50,9,10,0.5
0.187683797357726,196.7591,4999,50,9,10,0.5
0.0531813165685292,97.961414,499,500,9,10,0.5
0.00778612215499606,52.051288,2499,500,9,10,0.5
0.0152462595954642,106.285644,4999,500,9,10,0.5
0.129792206624466,50.783571,499,1000,9,10,0.5
0.0204553668277353,145.683872,2499,1000,9,10,0.5
0.0114665968650289,142.902389,4999,1000,9,10,0.5
1.27957829555393,121.10886,499,50,3,4,1
0.116288637076891,88.81204,2499,50,3,4,1
0.047803607131815,166.3191,4999,50,3,4,1
0.372204115855372,91.68116,499,500,3,4,1
0.0443990183299722,107.176498,2499,500,3,4,1
0.00309357585550614,84.296368,4999,500,3,4,1
0.187495189363142,43.963762,499,1000,3,4,1
0.0103431080699872,40.821376,2499,1000,3,4,1
0.0127077595041475,141.235943,4999,1000,3,4,1
0.297388630065751,102.64388,499,50,6,4,1
0.0726536624798418,100.3864,2499,50,6,4,1
0.176899552031965,107.44292,4999,50,6,4,1
0.0597150331557613,81.119022,499,500,6,4,1
0.0126397737368712,66.35198,2499,500,6,4,1
0.0149460516630742,66.405256,4999,500,6,4,1
0.157658218350166,76.267278,499,1000,6,4,1
0.00979253360393448,78.026642,2499,1000,6,4,1
0.0265415738296164,183.480864,4999,1000,6,4,1
0.0476452837770714,55.20948,499,50,9,4,1
0.0574216689333547,80.17898,2499,50,9,4,1
0.0751849940543497,172.52328,4999,50,9,4,1
0.124790059536823,82.650456,499,500,9,4,1
0.0134072109052953,81.630066,2499,500,9,4,1
0.0228351685474956,144.626124,4999,500,9,4,1
0.0599305719601659,82.914335,499,1000,9,4,1
0.00528610384046619,69.087216,2499,1000,9,4,1
0.00810515146948142,86.750006,4999,1000,9,4,1
0.40646852185211,59.65166,499,50,3,5,1
0.0846151517786107,125.86934,2499,50,3,5,1
0.0835238820925687,55.02116,4999,50,3,5,1
0.380495004279373,67.302828,499,500,3,5,1
0.0578927294949721,112.688402,2499,500,3,5,1
0.0063416844441874,80.879216,4999,500,3,5,1
0.58273266150385,83.50775,499,1000,3,5,1
0.0115302775947963,101.391088,2499,1000,3,5,1
0.00546378749458832,90.562588,4999,1000,3,5,1
0.16046520424694,92.18068,499,50,6,5,1
0.110627604483249,77.71364,2499,50,6,5,1
0.177188249774487,138.1881,4999,50,6,5,1
