"dataset","source","site","id","c14_age","c14_error"
"Iron","Heaton2021",,"1075",2065,16
"Iron","Heaton2021",,"186",2065,70
"Iron","Heaton2021",,"692",2065,30
"Iron","Heaton2021",,"2284",2065,20
"Iron","Heaton2021",,"1669",2066,33
"Iron","Heaton2021",,"1523",2067,21
"Iron","Heaton2021",,"293",2070,130
"Iron","Heaton2021",,"1833",2070,50
"Iron","Heaton2021",,"176",2070,70
"Iron","Heaton2021",,"189",2070,75
"Iron","Heaton2021",,"72",2070,60
"Iron","Heaton2021",,"1650",2070,20
"Iron","Heaton2021",,"162",2071,36
"Iron","Heaton2021",,"591",2072,36
"Iron","Heaton2021",,"1362",2074,20
"Iron","Heaton2021",,"320",2075,50
"Iron","Heaton2021",,"633",2075,35
"Iron","Heaton2021",,"1780",2075,22
"Iron","Heaton2021",,"384",2075,45
"Iron","Heaton2021",,"231",2075,80
"Iron","Heaton2021",,"2506",2075,40
"Iron","Heaton2021",,"1202",2076,24
"Iron","Heaton2021",,"2299",2076,27
"Iron","Heaton2021",,"2047",2080,40
"Iron","Heaton2021",,"91",2080,70
"Iron","Heaton2021",,"255",2080,95
"Iron","Heaton2021",,"2392",2080,40
"Iron","Heaton2021",,"2285",2080,20
"Iron","Heaton2021",,"1016",2081,30
"Iron","Heaton2021",,"1500",2082,29
"Iron","Heaton2021",,"756",2084,31
"Iron","Heaton2021",,"385",2085,75
"Iron","Heaton2021",,"1834",2088,22
"Iron","Heaton2021",,"765",2088,30
"Iron","Heaton2021",,"1201",2090,40
"Iron","Heaton2021",,"1431",2090,40
"Iron","Heaton2021",,"1074",2090,60
"Iron","Heaton2021",,"1520",2090,30
"Iron","Heaton2021",,"744",2090,40
"Iron","Heaton2021",,"2456",2090,65
"Iron","Heaton2021",,"1677",2091,25
"Iron","Heaton2021",,"2468",2091,56
"Iron","Heaton2021",,"2806",2092,22
"Iron","Heaton2021",,"1699",2093,36
"Iron","Heaton2021",,"2072",2094,58
"Iron","Heaton2021",,"1854",2095,36
"Iron","Heaton2021",,"1754",2095,20
"Iron","Heaton2021",,"1294",2095,19
"Iron","Heaton2021",,"1033",2100,40
"Iron","Heaton2021",,"387",2100,60
"Iron","Heaton2021",,"1093",2100,30
"Iron","Heaton2021",,"2384",2100,60
"Iron","Heaton2021",,"296",2100,130
"Iron","Heaton2021",,"181",2100,20
"Iron","Heaton2021",,"595",2100,42
"Iron","Heaton2021",,"364",2100,70
"Iron","Heaton2021",,"106",2100,30
"Iron","Heaton2021",,"1856",2101,38
"Iron","Heaton2021",,"2813",2103,22
"Iron","Heaton2021",,"639",2103,43
"Iron","Heaton2021",,"1631",2103,22
"Iron","Heaton2021",,"1044",2104,33
"Iron","Heaton2021",,"1076",2105,21
"Iron","Heaton2021",,"227",2105,35
"Iron","Heaton2021",,"382",2105,70
"Iron","Heaton2021",,"2030",2106,29
"Iron","Heaton2021",,"2420",2106,39
"Iron","Heaton2021",,"1039",2108,34
"Iron","Heaton2021",,"1897",2110,40
"Iron","Heaton2021",,"1727",2110,33
"Iron","Heaton2021",,"2068",2110,35
"Iron","Heaton2021",,"1518",2110,30
"Iron","Heaton2021",,"381",2110,45
"Iron","Heaton2021",,"728",2110,80
"Iron","Heaton2021",,"315",2110,30
"Iron","Heaton2021",,"809",2110,31
"Iron","Heaton2021",,"2390",2110,60
"Iron","Heaton2021",,"2653",2110,30
"Iron","Heaton2021",,"769",2111,32
"Iron","Heaton2021",,"551",2114,34
"Iron","Heaton2021",,"9",2115,30
"Iron","Heaton2021",,"1395",2115,36
"Iron","Heaton2021",,"360",2116,32
"Iron","Heaton2021",,"2609",2117,26
"Iron","Heaton2021",,"697",2117,33
"Iron","Heaton2021",,"2266",2119,21
"Iron","Heaton2021",,"2156",2120,35
"Iron","Heaton2021",,"191",2120,20
"Iron","Heaton2021",,"404",2120,25
"Iron","Heaton2021",,"398",2120,45
"Iron","Heaton2021",,"550",2120,40
"Iron","Heaton2021",,"565",2120,40
"Iron","Heaton2021",,"324",2120,50
"Iron","Heaton2021",,"2173",2120,35
"Iron","Heaton2021",,"2386",2120,70
"Iron","Heaton2021",,"2808",2122,29
"Iron","Heaton2021",,"1406",2123,20
"Iron","Heaton2021",,"2660",2125,30
"Iron","Heaton2021",,"749",2125,33
"Iron","Heaton2021",,"392",2125,85
"Iron","Heaton2021",,"1813",2128,64
"Iron","Heaton2021",,"2283",2129,18
"Iron","Heaton2021",,"389",2130,65
"Iron","Heaton2021",,"656",2130,20
"Iron","Heaton2021",,"1546",2130,20
"Iron","Heaton2021",,"2391",2130,60
"Iron","Heaton2021",,"120",2130,60
"Iron","Heaton2021",,"216",2130,20
"Iron","Heaton2021",,"1498",2132,21
"Iron","Heaton2021",,"1045",2133,39
"Iron","Heaton2021",,"8",2134,30
"Iron","Heaton2021",,"2210",2135,22
"Iron","Heaton2021",,"2398",2135,25
"Iron","Heaton2021",,"2651",2135,30
"Iron","Heaton2021",,"2657",2136,49
"Iron","Heaton2021",,"742",2138,44
"Iron","Heaton2021",,"294",2140,130
"Iron","Heaton2021",,"2212",2140,49
"Iron","Heaton2021",,"1071",2140,40
"Iron","Heaton2021",,"183",2140,50
"Iron","Heaton2021",,"1600",2140,40
"Iron","Heaton2021",,"2135",2140,40
"Iron","Heaton2021",,"658",2140,20
"Iron","Heaton2021",,"579",2140,60
"Iron","Heaton2021",,"139",2140,60
"Iron","Heaton2021",,"2725",2141,26
"Iron","Heaton2021",,"1614",2143,23
"Iron","Heaton2021",,"1361",2143,53
"Iron","Heaton2021",,"1738",2144,43
"Iron","Heaton2021",,"1643",2144,24
"Iron","Heaton2021",,"1262",2144,21
"Iron","Heaton2021",,"2416",2145,35
"Iron","Heaton2021",,"2341",2145,35
"Iron","Heaton2021",,"1665",2148,47
"Iron","Heaton2021",,"1794",2149,45
"Iron","Heaton2021",,"295",2150,130
"Iron","Heaton2021",,"313",2150,70
"Iron","Heaton2021",,"690",2150,35
"Iron","Heaton2021",,"1596",2150,40
"Iron","Heaton2021",,"2132",2150,40
"Iron","Heaton2021",,"659",2150,25
"Iron","Heaton2021",,"297",2150,130
"Iron","Heaton2021",,"2553",2150,40
"Iron","Heaton2021",,"571",2150,50
"Iron","Heaton2021",,"76",2150,55
"Iron","Heaton2021",,"2767",2150,80
"Iron","Heaton2021",,"388",2150,70
"Iron","Heaton2021",,"105",2150,20
"Iron","Heaton2021",,"185",2155,435
"Iron","Heaton2021",,"2880",2157,31
"Iron","Heaton2021",,"2419",2157,50
"Iron","Heaton2021",,"1087",2158,34
"Iron","Heaton2021",,"588",2159,30
"Iron","Heaton2021",,"589",2159,34
"Iron","Heaton2021",,"291",2160,130
"Iron","Heaton2021",,"2100",2160,35
"Iron","Heaton2021",,"559",2160,40
"Iron","Heaton2021",,"2387",2160,40
"Iron","Heaton2021",,"549",2160,60
"Iron","Heaton2021",,"110",2160,70
"Iron","Heaton2021",,"136",2160,35
"Iron","Heaton2021",,"965",2160,40
"Iron","Heaton2021",,"1956",2162,22
"Iron","Heaton2021",,"2264",2162,34
"Iron","Heaton2021",,"587",2163,30
"Iron","Heaton2021",,"240",2165,70
"Iron","Heaton2021",,"689",2165,30
"Iron","Heaton2021",,"146",2165,55
"Iron","Heaton2021",,"1728",2167,35
"Iron","Heaton2021",,"576",2168,31
"Iron","Heaton2021",,"1073",2170,40
"Iron","Heaton2021",,"655",2170,30
"Iron","Heaton2021",,"1811",2170,35
"Iron","Heaton2021",,"578",2170,50
"Iron","Heaton2021",,"2131",2170,40
"Iron","Heaton2021",,"1288",2170,29
"Iron","Heaton2021",,"674",2170,50
"Iron","Heaton2021",,"306",2170,40
"Iron","Heaton2021",,"2389",2170,40
"Iron","Heaton2021",,"2790",2170,70
"Iron","Heaton2021",,"272",2170,60
"Iron","Heaton2021",,"1622",2171,24
"Iron","Heaton2021",,"2351",2171,96
"Iron","Heaton2021",,"590",2171,33
"Iron","Heaton2021",,"2087",2175,40
"Iron","Heaton2021",,"390",2175,45
"Iron","Heaton2021",,"2353",2175,40
"Iron","Heaton2021",,"621",2175,38
"Iron","Heaton2021",,"1901",2175,33
"Iron","Heaton2021",,"2104",2175,35
"Iron","Heaton2021",,"632",2175,35
"Iron","Heaton2021",,"53",2175,45
"Iron","Heaton2021",,"11",2179,28
"Iron","Heaton2021",,"2636",2179,33
"Iron","Heaton2021",,"1691",2180,22
"Iron","Heaton2021",,"643",2180,40
"Iron","Heaton2021",,"2086",2180,35
"Iron","Heaton2021",,"2382",2180,40
"Iron","Heaton2021",,"1651",2182,20
"Iron","Heaton2021",,"1613",2183,21
"Iron","Heaton2021",,"577",2184,33
"Iron","Heaton2021",,"710",2184,23
"Iron","Heaton2021",,"380",2185,55
"Iron","Heaton2021",,"2652",2185,30
"Iron","Heaton2021",,"2661",2185,30
"Iron","Heaton2021",,"209",2185,45
"Iron","Heaton2021",,"316",2185,65
"Iron","Heaton2021",,"713",2186,22
"Iron","Heaton2021",,"782",2187,46
"Iron","Heaton2021",,"2292",2190,40
"Iron","Heaton2021",,"572",2190,40
"Iron","Heaton2021",,"148",2190,55
"Iron","Heaton2021",,"117",2190,60
"Iron","Heaton2021",,"51",2190,20
"Iron","Heaton2021",,"274",2190,60
"Iron","Heaton2021",,"1068",2190,40
"Iron","Heaton2021",,"1515",2190,40
